1,{'tyres': ['Metal', 'Roller', 'Cushion', 'Crimson Slim'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Waddle Wing', 'Super Glider', 'Flower Glider', 'Parafoil'], 'vehicles': ['Standard Bike', 'Mach 8', 'Gold Standard', 'Jet Bike'], 'players': ['Oliver', 'Computer', 'Computer', 'Computer'], 'characters': ['Baby Luigi', 'Luigi', 'Roy', 'Larry'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.0], 'team selection': 'random'}
1196,{'tyres': ['Slick', 'Cyber Slick', 'Crimson Slim', 'Slim'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Gold Glider', 'Hylian Kite', 'Bowser Kite', 'Wario Wing'], 'vehicles': ['Bounder', 'Yoshi Bike', 'Sports Coupe', 'Varmint'], 'players': ['Sid', 'Uma', 'Paulin', 'Thomas'], 'characters': ['Lakitu', 'Cat Peach', 'Baby Mario', 'Baby Mario'], 'time': 1447073875.98175, 'handicaps before this game': [4.0, 6.75, 0.0, 4.75], 'team selection': 'random'}
1197,{'tyres': ['Cushion', 'Funky Monster', 'Metal', 'Roller'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Flower Glider', 'Paper Glider', 'Parafoil', 'Gold Glider'], 'vehicles': ['Tanooki Kart', 'Mercedes GLA', 'Varmint', 'Standard Bike'], 'players': ['Paulin', 'Andy', 'Ian', 'Gordon'], 'characters': ['Baby Peach', 'Peach', 'Daisy', 'Yoshi'], 'time': 1447085940.393124, 'handicaps before this game': [0.25, 8.0, 7.75, -1.25], 'team selection': 'random'}
1198,{'tyres': ['Funky Monster', 'Leaf Tyres', 'Azure Roller', 'Slim'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Hylian Kite', 'Parafoil', 'Waddle Wing', 'Paper Glider'], 'vehicles': ['Mach 8', 'Mercedes 300 SL Roadster', 'Steel Driver', 'Bone Rattler'], 'players': ['Rob', 'Arvinda', 'Martha', 'Thomas'], 'characters': ['Luigi', 'Luigi', 'Villager (male)', 'Pink Gold Peach'], 'time': 1447088028.355545, 'handicaps before this game': [5.25, 1.0, -3.25, 4.5], 'team selection': 'random'}
1199,{'tyres': ['Retro Off-road', 'Cyber Slick', 'Slim', 'Gold Tyres'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Peach Parasol', 'MKTV Parafoil', 'Bowser Kite', 'Wario Wing'], 'vehicles': ['Buggybud', 'Tanooki Kart', 'Pipe Frame', 'Varmint'], 'players': ['Andy', 'Eirik', 'Ian', 'Paulin'], 'characters': ['Roy', 'Baby Peach', 'Baby Mario', 'Donkey Kong'], 'time': 1447157876.788118, 'handicaps before this game': [8.25, 5.0, 7.5, 0.0], 'team selection': 'random'}
1200,{'tyres': ['Sponge', 'Cyber Slick', 'Funky Monster', 'Leaf Tyres'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['MKTV Parafoil', 'Waddle Wing', 'Bowser Kite', 'Parafoil'], 'vehicles': ['Tanooki Kart', 'Pipe Frame', 'Tanooki Kart', 'City Tripper'], 'players': ['Uma', 'Sid', 'Thomas', 'Joe'], 'characters': ['Villager (female)', 'Villager (female)', 'Roy', 'Metal Mario'], 'time': 1447159999.720917, 'handicaps before this game': [7.0, 3.75, 4.75, 4.0], 'team selection': 'random'}
1201,{'tyres': ['Roller', 'Azure Roller', 'GLA Tyres', 'Normal Blue'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Bowser Kite', 'Gold Glider', 'Parachute', 'MKTV Parafoil'], 'vehicles': ['B Dasher', 'Tri-Speeder', 'Varmint', 'Tri-Speeder'], 'players': ['Martha', 'Rob', 'Thomas', 'Arvinda'], 'characters': ['Yoshi', 'Koopa Troopa', 'Dry Bowser', 'Toad'], 'time': 1447174287.315306, 'handicaps before this game': [-3.0, 5.0, 4.5, 0.75], 'team selection': 'random'}
1202,{'tyres': ['Slim', 'Crimson Slim', 'Gold Tyres', 'Metal'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Peach Parasol', 'Gold Glider', 'Plane Glider', 'Parachute'], 'vehicles': ['Yoshi Bike', 'Mercedes W 25 Silver Arrow', 'Gold Standard', 'Jet Bike'], 'players': ['Ian', 'Ben', 'Sid', 'Joe'], 'characters': ['Daisy', 'Lemmy', 'Waluigi', 'Lakitu'], 'time': 1447244204.160759, 'handicaps before this game': [7.75, -1.5, 4.0, 4.25], 'team selection': 'random'}
1203,{'tyres': ['Button', 'Slim', 'Wooden', 'Retro Off-road'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Waddle Wing', 'Hylian Kite', 'Super Glider', 'Waddle Wing'], 'vehicles': ['Tanooki Kart', 'Sport Bike', 'Varmint', 'Mach 8'], 'players': ['Johan', 'Paulin', 'Ben', 'Eirik'], 'characters': ['Villager (female)', 'Lakitu', 'Toad', 'Metal Mario'], 'time': 1447248678.248933, 'handicaps before this game': [5.5, -0.25, -1.75, 5.25], 'team selection': 'random'}
1204,{'tyres': ['Azure Roller', 'Slim', 'GLA Tyres', 'Funky Monster'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Super Glider', 'Cloud Glider', 'Wario Wing', 'Parafoil'], 'vehicles': ['Bounder', 'Mr. Scooty', 'Varmint', 'Cat Cruiser'], 'players': ['Arvinda', 'Sid', 'Martha', 'Thomas'], 'characters': ['Tanooki Mario', 'Toadette', 'Wendy', 'Peach'], 'time': 1447250590.836777, 'handicaps before this game': [1.0, 4.25, -3.25, 4.75], 'team selection': 'random'}
1205,{'tyres': ['Retro Off-road', 'TriForce Tyres', 'Button', 'Slim'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Bowser Kite', 'Parafoil', 'MKTV Parafoil', 'Hylian Kite'], 'vehicles': ['Steel Driver', 'Sports Coupe', 'Gold Standard', 'Sport Bike'], 'players': ['Gordon', 'Uma', 'Andy', 'Ian'], 'characters': ['Dry Bowser', 'Luigi', 'Yoshi', 'Baby Mario'], 'time': 1447255352.443364, 'handicaps before this game': [-1.0, 6.75, 8.0, 7.5], 'team selection': 'random'}
1206,{'tyres': ['Azure Roller', 'Normal Tyres', 'Offroad', 'GLA Tyres'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Parachute', 'Wario Wing', 'Parachute', 'Bowser Kite'], 'vehicles': ['Circuit Special', 'Tanooki Kart', 'Standard Quad', 'B Dasher'], 'players': ['Ian', 'Uma', 'Gordon', 'Andy'], 'characters': ['Mario', 'Ludwig', 'Shy Guy', 'Pink Gold Peach'], 'time': 1447255354.445095, 'handicaps before this game': [7.5, 6.75, -1.0, 8.0], 'team selection': 'random'}
1207,{'tyres': ['Offroad', 'Normal Tyres', 'Gold Tyres', 'Crimson Slim'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Parafoil', 'Gold Glider', 'Parafoil', 'Paper Glider'], 'vehicles': ['Cat Cruiser', 'Sport Bike', 'Mercedes GLA', 'Standard Kart'], 'players': ['Sid', 'Arvinda', 'Ian', 'Thomas'], 'characters': ['Toadette', 'Morton', 'Koopa Troopa', 'Wario'], 'time': 1447330640.706318, 'handicaps before this game': [4.5, 0.75, 7.75, 4.5], 'team selection': 'random'}
1208,{'tyres': ['Funky Monster', 'Funky Monster', 'Crimson Slim', 'Cyber Slick'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Plane Glider', 'Plane Glider', 'Wario Wing', 'Gold Glider'], 'vehicles': ['Mach 8', 'Badwagon', 'Streetle', 'Prancer'], 'players': ['Ian', 'Uma', 'Rob', 'Sid'], 'characters': ['Yoshi', 'Bowser', 'Ludwig', 'Baby Rosalina'], 'time': 1447416620.565597, 'handicaps before this game': [7.75, 7.0, 4.75, 4.5], 'team selection': 'random'}
1209,{'tyres': ['Azure Roller', 'Retro Off-road', 'Cyber Slick', 'Cushion'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Paper Glider', 'MKTV Parafoil', 'Super Glider', 'Peach Parasol'], 'vehicles': ['Buggybud', 'Cat Cruiser', 'Tri-Speeder', 'Teddy Buggy'], 'players': ['Martha', 'Rob', 'Thomas', 'Arvinda'], 'characters': ['Toadette', 'Link', 'Waluigi', 'Peach'], 'time': 1447422786.544301, 'handicaps before this game': [-3.0, 5.0, 4.5, 0.75], 'team selection': 'random'}
1210,{'tyres': ['Normal Blue', 'Slim', 'Funky Monster', 'Wooden'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Hylian Kite', 'Flower Glider', 'Cloud Glider', 'Waddle Wing'], 'vehicles': ['Streetle', 'Sport Bike', 'Jet Bike', 'Prancer'], 'players': ['Andy', 'Rob', 'Ian', 'Sid'], 'characters': ['Link', 'Rosalina', 'Pink Gold Peach', 'Toadette'], 'time': 1447427660.831396, 'handicaps before this game': [7.75, 4.75, 8.0, 4.25], 'team selection': 'random'}
1211,{'tyres': ['Button', 'Monster', 'GLA Tyres', 'Metal'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Paper Glider', 'Gold Glider', 'Hylian Kite', 'Cloud Glider'], 'vehicles': ['Sport Bike', 'Teddy Buggy', 'Sport Bike', 'Gold Standard'], 'players': ['Sid', 'Andy', 'Ian', 'Uma'], 'characters': ['Waluigi', 'Luigi', 'Tanooki Mario', 'Villager (male)'], 'time': 1447676384.271756, 'handicaps before this game': [4.5, 7.5, 8.25, 6.75], 'team selection': 'random'}
1212,{'tyres': ['TriForce Tyres', 'Cyber Slick', 'Normal Blue', 'Wooden'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Parachute', 'Parafoil', 'Parachute', 'Paper Glider'], 'vehicles': ['Landship', 'Varmint', 'Jet Bike', 'Buggybud'], 'players': ['Martha', 'Rob', 'Arvinda', 'Thomas'], 'characters': ['Lakitu', 'Baby Rosalina', 'Koopa Troopa', 'Isabelle'], 'time': 1447686229.435075, 'handicaps before this game': [-3.25, 4.5, 1.0, 4.75], 'team selection': 'random'}
1213,{'tyres': ['Leaf Tyres', 'Slim', 'Sponge', 'Normal Blue'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['MKTV Parafoil', 'Parafoil', 'Paper Glider', 'Hylian Kite'], 'vehicles': ['Mach 8', 'Bounder', 'Buggybud', 'Blue Falcon'], 'players': ['Uma', 'Sid', 'Andy', 'Ian'], 'characters': ['Ludwig', 'Metal Mario', 'Larry', 'Wendy'], 'time': 1447688392.260803, 'handicaps before this game': [6.75, 4.5, 7.5, 8.25], 'team selection': 'random'}
1214,{'tyres': ['Cushion', 'Azure Roller', 'Wooden', 'Gold Tyres'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Flower Glider', 'Super Glider', 'Bowser Kite', 'Peach Parasol'], 'vehicles': ['Buggybud', 'Cat Cruiser', 'Pipe Frame', 'Master Cycle'], 'players': ['Rob', 'Andy', 'Sid', 'Ian'], 'characters': ['Baby Luigi', 'Baby Daisy', 'Pink Gold Peach', 'Roy'], 'time': 1447762813.795457, 'handicaps before this game': [4.75, 7.75, 4.75, 8.0], 'team selection': 'random'}
1215,{'tyres': ['Monster', 'Sponge', 'Sponge', 'Gold Tyres'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Parachute', 'Bowser Kite', 'Parachute', 'Cloud Glider'], 'vehicles': ['P-Wing', 'Bounder', 'Varmint', 'Jet Bike'], 'players': ['Ben', 'Johan', 'Eirik', 'Mate'], 'characters': ['Baby Mario', 'Baby Rosalina', 'Toadette', 'Larry'], 'time': 1447767223.909953, 'handicaps before this game': [-2.0, 5.25, 5.5, -2.0], 'team selection': 'random'}
1216,{'tyres': ['Wooden', 'Slim', 'Cyber Slick', 'Slim'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Bowser Kite', 'Parafoil', 'Wario Wing', 'Cloud Glider'], 'vehicles': ['Mercedes GLA', 'Master Cycle', 'Pipe Frame', 'City Tripper'], 'players': ['Arvinda', 'Martha', 'Thomas', 'Rob'], 'characters': ['Lakitu', 'Pink Gold Peach', 'Wario', 'Villager (male)'], 'time': 1447769279.039986, 'handicaps before this game': [0.75, -3.5, 5.0, 4.5], 'team selection': 'random'}
1217,{'tyres': ['Gold Tyres', 'Metal', 'Azure Roller', 'Normal Blue'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Gold Glider', 'Parafoil', 'Hylian Kite', 'Flower Glider'], 'vehicles': ['Sport Bike', 'Flame Rider', 'The Duke', 'Standard Quad'], 'players': ['Sid', 'Uma', 'Ian', 'Arvinda'], 'characters': ['Wendy', 'Baby Peach', 'Baby Daisy', 'Baby Peach'], 'time': 1447775275.442793, 'handicaps before this game': [5.0, 6.5, 7.75, 0.75], 'team selection': 'random'}
1218,{'tyres': ['TriForce Tyres', 'Funky Monster', 'Crimson Slim', 'Cyber Slick'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Parafoil', 'Gold Glider', 'Flower Glider', 'Paper Glider'], 'vehicles': ['City Tripper', 'Standard Kart', 'Teddy Buggy', 'Landship'], 'players': ['Thomas', 'Arvinda', 'Rob', 'Joe'], 'characters': ['Iggy', 'Mario', 'Rosalina', 'Lakitu'], 'time': 1447856043.723763, 'handicaps before this game': [5.0, 1.0, 4.5, 4.5], 'team selection': 'random'}
1219,{'tyres': ['Button', 'Normal Tyres', 'Slim', 'Slick'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['MKTV Parafoil', 'Wario Wing', 'Waddle Wing', 'Cloud Glider'], 'vehicles': ['Prancer', 'Teddy Buggy', 'Badwagon', 'Jet Bike'], 'players': ['Sid', 'Gordon', 'Rob', 'Uma'], 'characters': ['Baby Luigi', 'Peach', 'Villager (male)', 'Larry'], 'time': 1447861641.508909, 'handicaps before this game': [4.75, -1.25, 4.75, 6.75], 'team selection': 'random'}
1220,{'tyres': ['Normal Blue', 'Slim', 'Azure Roller', 'Roller'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Bowser Kite', 'Gold Glider', 'Parachute', 'MKTV Parafoil'], 'vehicles': ['Varmint', 'Teddy Buggy', 'Sport Bike', 'Sports Coupe'], 'players': ['Gordon', 'Uma', 'Sid', 'Rob'], 'characters': ['Lakitu', 'Donkey Kong', 'Link', 'Baby Luigi'], 'time': 1447861643.325963, 'handicaps before this game': [-1.25, 6.75, 4.75, 4.75], 'team selection': 'random'}
1221,{'tyres': ['Wooden', 'Button', 'TriForce Tyres', 'Wooden'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Plane Glider', 'Parachute', 'Gold Glider', 'Parachute'], 'vehicles': ['Flame Rider', 'Mercedes W 25 Silver Arrow', 'Standard Kart', 'Prancer'], 'players': ['Gordon', 'Sid', 'Ian', 'Uma'], 'characters': ['Mario', 'Lemmy', 'Waluigi', 'Villager (male)'], 'time': 1447935805.695337, 'handicaps before this game': [-1.5, 5.0, 7.5, 7.0], 'team selection': 'random'}
1222,{'tyres': ['Offroad', 'Slim', 'Metal', 'Gold Tyres'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['MKTV Parafoil', 'Hylian Kite', 'Waddle Wing', 'Parafoil'], 'vehicles': ['Blue Falcon', 'Badwagon', 'Circuit Special', 'Gold Standard'], 'players': ['Thomas', 'Arvinda', 'Martha', 'Rob'], 'characters': ['Morton', 'Toadette', 'Peach', 'Daisy'], 'time': 1447944413.556131, 'handicaps before this game': [4.75, 0.75, -3.5, 4.5], 'team selection': 'random'}
1223,{'tyres': ['Cushion', 'Slim', 'TriForce Tyres', 'Gold Tyres'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Bowser Kite', 'Paper Glider', 'Flower Glider', 'Parafoil'], 'vehicles': ['Standard Bike', 'Mercedes 300 SL Roadster', 'Mercedes 300 SL Roadster', 'Circuit Special'], 'players': ['Sid', 'Rob', 'Uma', 'Joe'], 'characters': ['Baby Luigi', 'Waluigi', 'Dry Bowser', 'Baby Luigi'], 'time': 1448022870.58728, 'handicaps before this game': [5.25, 4.25, 7.25, 4.75], 'team selection': 'random'}
1224,{'tyres': ['Slim', 'Funky Monster', 'Roller', 'TriForce Tyres'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Parachute', 'Cloud Glider', 'Peach Parasol', 'Waddle Wing'], 'vehicles': ['Tri-Speeder', 'Standard Kart', 'Tri-Speeder', 'Bone Rattler'], 'players': ['Sid', 'Uma', 'Joe', 'Rob'], 'characters': ['Daisy', 'Baby Mario', 'Isabelle', 'Villager (male)'], 'time': 1448022872.215555, 'handicaps before this game': [5.25, 7.25, 4.75, 4.25], 'team selection': 'random'}
1225,{'tyres': ['Offroad', 'Funky Monster', 'TriForce Tyres', 'Offroad'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Parachute', 'Flower Glider', 'Waddle Wing', 'Hylian Kite'], 'vehicles': ['Streetle', 'Blue Falcon', 'Teddy Buggy', 'Blue Falcon'], 'players': ['Paulin', 'Karlis', 'Guy', 'Eirik'], 'characters': ['Rosalina', 'Wendy', 'Villager (male)', 'Daisy'], 'time': 1448025173.164698, 'handicaps before this game': [0.0, 0.0, 4.25, 5.5], 'team selection': 'random'}
1226,{'tyres': ['Slim', 'Funky Monster', 'Sponge', 'Metal'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Peach Parasol', 'MKTV Parafoil', 'Waddle Wing', 'Bowser Kite'], 'vehicles': ['P-Wing', 'Tanooki Kart', 'The Duke', 'Circuit Special'], 'players': ['Thomas', 'Sid', 'Ian', 'Andy'], 'characters': ['Mario', 'Link', 'Cat Peach', 'Lemmy'], 'time': 1448281749.451316, 'handicaps before this game': [4.5, 5.5, 7.25, 8.0], 'team selection': 'random'}
1227,{'tyres': ['Offroad', 'Sponge', 'Slick', 'Slim'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Gold Glider', 'Waddle Wing', 'Gold Glider', 'Bowser Kite'], 'vehicles': ['Buggybud', 'Gold Standard', 'Tanooki Kart', 'Mach 8'], 'players': ['Arvinda', 'Martha', 'Rob', 'Thomas'], 'characters': ['Donkey Kong', 'Toad', 'Mario', 'Lakitu'], 'time': 1448293134.659013, 'handicaps before this game': [1.0, -3.25, 4.0, 4.75], 'team selection': 'random'}
1228,{'tyres': ['Offroad', 'TriForce Tyres', 'Sponge', 'TriForce Tyres'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Waddle Wing', 'Parachute', 'Wario Wing', 'Gold Glider'], 'vehicles': ['Sports Coupe', 'Sports Coupe', 'Badwagon', 'Standard Quad'], 'players': ['Paulin', 'Andy', 'Ian', 'Sid'], 'characters': ['Baby Daisy', 'Villager (male)', 'Iggy', 'Tanooki Mario'], 'time': 1448294392.949603, 'handicaps before this game': [0.0, 7.75, 7.5, 5.25], 'team selection': 'random'}
1229,{'tyres': ['Cushion', 'Leaf Tyres', 'Slim', 'Cushion'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Parachute', 'Peach Parasol', 'MKTV Parafoil', 'Gold Glider'], 'vehicles': ['Sport Bike', 'Standard Kart', 'P-Wing', 'Bone Rattler'], 'players': ['Paulin', 'Mark', 'Eirik', 'Guy'], 'characters': ['Tanooki Mario', 'Pink Gold Peach', 'Baby Daisy', 'Rosalina'], 'time': 1448370889.378636, 'handicaps before this game': [-0.25, -2.25, 5.5, 4.25], 'team selection': 'random'}
1230,{'tyres': ['Normal Blue', 'Slim', 'Wooden', 'Wooden'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Plane Glider', 'Waddle Wing', 'Cloud Glider', 'Parachute'], 'vehicles': ['Bounder', 'Blue Falcon', 'Mercedes 300 SL Roadster', 'Varmint'], 'players': ['Martha', 'Rob', 'Arvinda', 'Thomas'], 'characters': ['Wario', 'Koopa Troopa', 'Toadette', 'Ludwig'], 'time': 1448372896.635897, 'handicaps before this game': [-3.5, 4.25, 1.25, 4.5], 'team selection': 'random'}
1231,{'tyres': ['Normal Blue', 'Metal', 'GLA Tyres', 'GLA Tyres'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Parachute', 'Flower Glider', 'Flower Glider', 'Hylian Kite'], 'vehicles': ['P-Wing', 'Mercedes GLA', 'Buggybud', 'Jet Bike'], 'players': ['Ian', 'Sid', 'Andy', 'Thomas'], 'characters': ['Toadette', 'Bowser', 'Toad', 'Cat Peach'], 'time': 1448454410.679331, 'handicaps before this game': [7.75, 5.5, 7.5, 4.25], 'team selection': 'random'}
1232,{'tyres': ['Slick', 'Monster', 'GLA Tyres', 'Leaf Tyres'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Hylian Kite', 'Hylian Kite', 'Paper Glider', 'Cloud Glider'], 'vehicles': ['Blue Falcon', 'Comet', 'Mr. Scooty', 'Yoshi Bike'], 'players': ['Arvinda', 'Mate', 'Eirik', 'Guy'], 'characters': ['Waluigi', 'Roy', 'Waluigi', 'Daisy'], 'time': 1448457735.765552, 'handicaps before this game': [1.0, -2.0, 5.75, 4.5], 'team selection': 'random'}
1233,{'tyres': ['Slim', 'Slick', 'Azure Roller', 'Monster'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Peach Parasol', 'MKTV Parafoil', 'Waddle Wing', 'Plane Glider'], 'vehicles': ['P-Wing', 'Tri-Speeder', 'Circuit Special', 'Cat Cruiser'], 'players': ['Martha', 'Arvinda', 'Thomas', 'Rob'], 'characters': ['Lakitu', 'Luigi', 'Mario', 'Larry'], 'time': 1448464169.272622, 'handicaps before this game': [-3.25, 1.25, 4.0, 4.5], 'team selection': 'random'}
1234,{'tyres': ['Leaf Tyres', 'Sponge', 'Button', 'Sponge'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Hylian Kite', 'Hylian Kite', 'Parafoil', 'Paper Glider'], 'vehicles': ['Sport Bike', 'Jet Bike', 'Master Cycle', 'Sport Bike'], 'players': ['Rob', 'Arvinda', 'Martha', 'Thomas'], 'characters': ['Metal Mario', 'Wendy', 'Wendy', 'Peach'], 'time': 1448546758.552412, 'handicaps before this game': [4.75, 1.5, -3.5, 3.75], 'team selection': 'random'}
1235,{'tyres': ['Normal Tyres', 'Cyber Slick', 'Retro Off-road', 'Leaf Tyres'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Peach Parasol', 'Bowser Kite', 'Gold Glider', 'Hylian Kite'], 'vehicles': ['Varmint', 'Landship', 'Badwagon', 'Blue Falcon'], 'players': ['Andy', 'Rob', 'Gordon', 'Paulin'], 'characters': ['Toad', 'Shy Guy', 'Baby Mario', 'Dry Bowser'], 'time': 1448633481.660454, 'handicaps before this game': [7.75, 4.75, -1.75, -0.5], 'team selection': 'random'}
1236,{'tyres': ['Normal Tyres', 'Offroad', 'Button', 'Cushion'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Cloud Glider', 'Cloud Glider', 'Gold Glider', 'Parafoil'], 'vehicles': ['Varmint', 'Pipe Frame', 'Blue Falcon', 'P-Wing'], 'players': ['Martha', 'Arvinda', 'Rob', 'Thomas'], 'characters': ['Baby Peach', 'Rosalina', 'Baby Mario', 'Dry Bowser'], 'time': 1448639220.540338, 'handicaps before this game': [-3.5, 1.5, 5.0, 3.75], 'team selection': 'random'}
1237,{'tyres': ['Cyber Slick', 'Azure Roller', 'Button', 'Slim'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Cloud Glider', 'Hylian Kite', 'Hylian Kite', 'Gold Glider'], 'vehicles': ['Cat Cruiser', 'Standard Quad', 'Standard Bike', 'Mach 8'], 'players': ['Ian', 'Sid', 'Andy', 'Computer'], 'characters': ['Baby Rosalina', 'Luigi', 'Villager (male)', 'Luigi'], 'time': 1448886368.438332, 'handicaps before this game': [8.0, 5.25, 7.5, 0.0], 'team selection': 'random'}
1238,{'tyres': ['Wooden', 'Funky Monster', 'Funky Monster', 'Retro Off-road'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['MKTV Parafoil', 'Parachute', 'Cloud Glider', 'Paper Glider'], 'vehicles': ['The Duke', 'Streetle', 'Master Cycle', 'Wild Wiggler'], 'players': ['Paulin', 'Guy', 'Eirik', 'Ben'], 'characters': ['Baby Mario', 'Baby Mario', 'Isabelle', 'Rosalina'], 'time': 1448890126.984946, 'handicaps before this game': [-0.5, 5.0, 5.75, -1.75], 'team selection': 'random'}
1239,{'tyres': ['Roller', 'Normal Tyres', 'Azure Roller', 'Offroad'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Parachute', 'Waddle Wing', 'Parachute', 'Parachute'], 'vehicles': ['Jet Bike', 'Gold Standard', 'Landship', 'Bone Rattler'], 'players': ['Martha', 'Thomas', 'Arvinda', 'Rob'], 'characters': ['Baby Rosalina', 'Lakitu', 'Baby Daisy', 'Yoshi'], 'time': 1448893502.13924, 'handicaps before this game': [-3.5, 3.75, 2.0, 5.5], 'team selection': 'random'}
1240,{'tyres': ['Leaf Tyres', 'GLA Tyres', 'Crimson Slim', 'Monster'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Gold Glider', 'Plane Glider', 'Wario Wing', 'Parachute'], 'vehicles': ['City Tripper', 'City Tripper', 'Mercedes W 25 Silver Arrow', 'Sport Bike'], 'players': ['Sid', 'Joe', 'Ian', 'Andy'], 'characters': ['Baby Luigi', 'Isabelle', 'Metal Mario', 'Luigi'], 'time': 1448900472.415394, 'handicaps before this game': [5.75, 4.75, 8.5, 7.5], 'team selection': 'random'}
1241,{'tyres': ['GLA Tyres', 'Metal', 'TriForce Tyres', 'Wooden'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Flower Glider', 'Paper Glider', 'Parachute', 'Wario Wing'], 'vehicles': ['B Dasher', 'Streetle', 'Yoshi Bike', 'Tanooki Kart'], 'players': ['Ian', 'Rob', 'Andy', 'Uma'], 'characters': ['Waluigi', 'Baby Luigi', 'Villager (female)', 'Rosalina'], 'time': 1448971999.848633, 'handicaps before this game': [8.25, 5.75, 7.75, 7.75], 'team selection': 'random'}
1242,{'tyres': ['Gold Tyres', 'Crimson Slim', 'Normal Blue', 'Crimson Slim'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Parafoil', 'Cloud Glider', 'Flower Glider', 'Flower Glider'], 'vehicles': ['Standard Quad', 'City Tripper', 'Circuit Special', 'Prancer'], 'players': ['Arvinda', 'Martha', 'Thomas', 'Rob'], 'characters': ['Cat Peach', 'Baby Luigi', 'Yoshi', 'Lemmy'], 'time': 1448978461.827535, 'handicaps before this game': [1.75, -3.75, 4.0, 5.75], 'team selection': 'random'}
1243,{'tyres': ['Normal Blue', 'Funky Monster', 'Leaf Tyres', 'Slick'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Parachute', 'Hylian Kite', 'Parafoil', 'Gold Glider'], 'vehicles': ['Landship', 'Comet', 'Bone Rattler', 'Jet Bike'], 'players': ['Eirik', 'Ian', 'Sid', 'Joe'], 'characters': ['Baby Rosalina', 'Waluigi', 'Waluigi', 'Peach'], 'time': 1448982167.363698, 'handicaps before this game': [6.0, 8.25, 5.5, 5.0], 'team selection': 'random'}
